,name,sex,date_of_birth,email_address,,geography,postcode,ethnic_group,nationality,highest_level_of_qualifications,employment_status,industry,occupation,,,,,,,,,,,,
3669,Kirsty Turner,female,31-01-1944,turner_k1944@15c71.griffiths.com,,East Midlands,LN6 8GA,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3670,Justin Sheppard,male,22-04-2011,justin.sheppard2011@2c8b3.hotmail.com,,North West,M50 3SB,Asian / Asian British: Pakistani,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3671,Benjamin Knight,male,17-07-1975,benjamin_knight1975@2372c.vincent.co.uk,,South East,GU7 2HL,White,United Kingdom,Level 4 or above,Employee: Part-time,F. Construction,4. Administrative and secretarial occupations,,,,,,,,,,,,
3672,Brett Glover,male,19-04-1948,glover.brett1948@7b323.gmail.com,,North West,PR4 1XS,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3673,Callum Taylor,male,13-04-2013,callum.t13@2cbbb.yahoo.co.uk,,North East,NE6 1LH,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3674,Mark Wilson,male,02-02-1967,mwilson@ef8de.hamilton-williamson.com,,North West,M14 5WF,White,United Kingdom,Level 3,Employee: Part-time,"G. Wholesale, retail & repair of motor vehicles",7. Sales and customer service occupations,,,,,,,,,,,,
3675,Callum Bell,male,21-06-2007,bell-callum2082@6831e.gmail.com,,Yorkshire and The Humber,DN6 0QB,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3676,Patrick Connor,male,24-01-1962,cpatrick5768@69c1c.hotmail.co.uk,,North West,CA25 5JT,White,United Kingdom,Level 3,Employee: Part-time,RST. Other services,9. Elementary occupations,,,,,,,,,,,,
3677,Olivia McCarthy,female,03-09-1986,m_olivia3741@da168.brooks.com,,Scotland,KY2 6RW,White,United Kingdom,No qualifications,Employee: Full-time,"BDE. Mining, energy and water supply",2. Professional occupations,,,,,,,,,,,,
3678,Janet Jones,female,17-03-1972,jonesjanet1972@84e38.gmail.com,,South West,GL52 6SJ,White,United Kingdom,No qualifications,Employee: Full-time,RST. Other services,4. Administrative and secretarial occupations,,,,,,,,,,,,
3679,Margaret Potter,female,26-05-1995,potter_m6364@4aa2d.hotmail.com,,London,SW11 2DR,White,Bulgaria,Level 4 or above,Employee: Full-time,P. Education,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3680,Katherine Walker,female,31-10-1973,katherine_w6864@aec15.bennett.co.uk,,South East,RH1 1JE,White,United Kingdom,Other qualifications,Employee: Part-time,Q. Human health & social work activities,"1. Managers, directors and senior officials",,,,,,,,,,,,
3681,Kayleigh Campbell,female,19-12-1953,campbell.kayleigh53@39d37.dixon.com,,London,HA2 9SJ,Asian / Asian British: Other Asian,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3682,Kayleigh Webb,female,01-03-1968,webb_k1968@6a10d.gmail.com,,Yorkshire and The Humber,YO8 5BR,White,United Kingdom,No qualifications,Employee: Part-time,I. Accommod-ation & food services,2. Professional occupations,,,,,,,,,,,,
3683,Marcus Harvey,male,13-12-2017,marcus.harvey17@a9ad4.yahoo.com,,Yorkshire and The Humber,LS9 8JX,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3684,Billy Mills,male,24-11-1993,mills-billy1993@3f74c.burrows-oneill.biz,,South East,RH6 9FT,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3685,Hugh Knight,male,27-11-1967,knight-hugh3749@a0e7b.smith.net,,North West,BB9 0AH,Asian / Asian British: Pakistani,United Kingdom,No qualifications,Employee: Full-time,"M. Professional, scientific & technical activities",3. Associate professional and technical occupat...,,,,,,,,,,,,
3686,Liam Smith,male,22-05-2018,liam.s4725@2489a.barber.com,,East,RM15 6TH,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3687,Patrick O'Donnell,male,19-05-1958,o'donnell.patrick1958@c144e.hartley.com,,West Midlands,ST10 1LF,White,United Kingdom,Other qualifications,Other,Other,Other,,,,,,,,,,,,
3688,Shirley McCarthy,female,13-03-1975,shirley-mccarthy75@68d10.marshall.co.uk,,East,SS5 4EN,White,United Kingdom,No qualifications,Employee: Full-time,H. Transport & storage,3. Associate professional and technical occupat...,,,,,,,,,,,,
3689,Rachel Palmer,female,24-07-1976,rachel-p76@0b9a2.hotmail.co.uk,,East Midlands,LE16 9BW,Asian / Asian British: Indian,Republic of Ireland,Level 1,Employee: Part-time,"BDE. Mining, energy and water supply","1. Managers, directors and senior officials",,,,,,,,,,,,
3690,Kate Sanderson,female,08-12-2004,kate.s2004@63041.oliver.com,,North East,NE61 2PS,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3691,Raymond Evans,male,20-10-2014,evans.raymond14@70b53.hotmail.co.uk,,East Midlands,LE3 3RA,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3692,Liam Morris,male,02-01-2017,l.morris@99006.yahoo.co.uk,,East Midlands,NG6 9LW,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3693,Kimberley Hill,female,20-09-1932,kimberley.hill@e024b.hotmail.com,,South East,CT11 9TW,White,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3694,Samantha James,female,04-10-1946,samantha_james1657@d46b5.hotmail.com,,West Midlands,WS7 3RJ,Asian / Asian British: Indian,Germany,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3695,Fiona Bird,female,10-11-1997,fionab1997@3da1c.smith-mann.net,,London,TW5 0AJ,White,United Kingdom,Other qualifications,Employee: Full-time,Q. Human health & social work activities,"1. Managers, directors and senior officials",,,,,,,,,,,,
3696,Lee Thomson,male,21-09-2014,thomson_l2014@d997d.porter-roberts.com,,South East,PO4 8DA,White,Spain,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3697,Charlotte Warren,female,17-09-2021,charlotte.warren2021@2353a.baker.com,,South East,RH10 9QN,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3698,Bryan Boyle,male,12-04-1967,b_boyle@4be6e.yahoo.com,,London,E6 9SF,Black / African / Caribbean / Black British,United Kingdom,Level 4 or above,Employee: Full-time,RST. Other services,3. Associate professional and technical occupat...,,,,,,,,,,,,
3699,Lewis Bennett,male,03-09-1970,l.bennett1616@9909e.hotmail.co.uk,,North West,CA10 3TJ,White,United Kingdom,Level 2,Employee: Full-time,F. Construction,2. Professional occupations,,,,,,,,,,,,
3700,Robin Walker,male,15-04-1971,w_robin71@9d93c.weston.org,,East Midlands,LE12 5JW,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3701,George Walker,male,28-12-1992,walkergeorge1992@b775d.hussain-james.com,,North West,CH1 5JD,White,United Kingdom,No qualifications,Employee: Part-time,F. Construction,4. Administrative and secretarial occupations,,,,,,,,,,,,
3702,Carol Thomas,female,18-11-1999,carolthomas1999@ad05a.walton-graham.net,,North West,WN2 2ND,White,United Kingdom,Level 2,Employee: Full-time,K. Financial & insurance activities,9. Elementary occupations,,,,,,,,,,,,
3703,Lynda Sullivan,female,28-02-1988,slynda1988@e2633.evans-harrison.com,,West Midlands,B97 4BP,Asian / Asian British: Bangladeshi,United Kingdom,Level 4 or above,Unemployed,Other,Other,,,,,,,,,,,,
3704,Lynne Nolan,female,24-01-1963,lynnen1963@d80cb.jones.com,,South West,BS22 7QR,White,Italy,Level 4 or above,Employee: Full-time,J. Information & communication,2. Professional occupations,,,,,,,,,,,,
3705,Howard Jones,male,13-04-1975,h-jones6246@bb370.jones.co.uk,,South West,PL3 5RL,Mixed / Multiple ethnic group,United Kingdom,Level 2,Employee: Part-time,C. Manufacturing,9. Elementary occupations,,,,,,,,,,,,
3706,Liam Brennan,male,26-12-1947,b_liam1947@b28ef.bird.com,,East,IP1 6BH,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3707,Leanne Roberts,female,23-11-1962,leanne.roberts2692@ee207.poole-rice.biz,,Northern Ireland,BT25 1ET,White,United Kingdom,Level 4 or above,Employee: Full-time,P. Education,4. Administrative and secretarial occupations,,,,,,,,,,,,
3708,Natasha Chadwick,female,02-09-1957,natashachadwick57@0c151.oconnor.co.uk,,North West,WA9 1AD,White,United Kingdom,Level 1,Retired,Other,Other,,,,,,,,,,,,
3709,Paul Walton,male,20-05-1985,paul_w@c445c.smith-brennan.net,,London,RM13 9JX,Black / African / Caribbean / Black British,United Kingdom,Level 4 or above,Employee: Full-time,O. Public admin & defence; social security,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3710,Holly Jennings,female,15-09-1997,jenningsh2445@5ae77.hotmail.com,,West Midlands,WV6 8QL,White,United Kingdom,Level 3,Employee: Full-time,F. Construction,5. Skilled trades occupations,,,,,,,,,,,,
3711,Olivia Davis,female,31-12-2007,olivia-davis07@ae350.gmail.com,,East,NR7 0AU,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3712,Denise Hunt,female,04-04-1947,h-denise47@a89b9.lewis.info,,South East,HP11 1ZH,White,Italy,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3713,Wayne Harris,male,27-02-1989,harris_wayne1610@dc769.king.co.uk,,London,W5 2AY,White,United Kingdom,Level 4 or above,Employee: Full-time,F. Construction,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3714,Mary Jones,female,11-10-1976,j_mary5482@a97e8.ali.com,,Scotland,AB10 6RS,White,United Kingdom,Level 1,Other,Other,Other,,,,,,,,,,,,
3715,Charlene Brooks,female,19-05-1945,charlenebrooks1945@bf274.adams.org,,Yorkshire and The Humber,YO30 6BU,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3716,Bethany Arnold,female,08-03-1987,bethany_a@b12e3.thornton-thompson.biz,,East Midlands,S42 5ET,White,United Kingdom,No qualifications,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles","6. Caring, leisure and other service occupations",,,,,,,,,,,,
3717,Kimberley Smith,female,03-05-1944,kimberley-smith@663ed.hotmail.com,,North West,SK14 1JU,White,United Kingdom,Level 1,Retired,Other,Other,,,,,,,,,,,,
3718,Stewart Jennings,male,05-01-1985,jennings_stewart85@341b5.yahoo.co.uk,,South West,GL4 5BX,White,United Kingdom,No qualifications,Employee: Part-time,P. Education,3. Associate professional and technical occupat...,,,,,,,,,,,,
3719,Joe Blake,male,29-04-1972,joe_blake1972@fb2e2.yahoo.com,,South East,RG2 9PU,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3720,Declan Robinson,male,03-06-1966,robinson.d66@51ae0.robinson.net,,South East,SL1 7ED,White,United Kingdom,Level 2,Employee: Part-time,C. Manufacturing,2. Professional occupations,,,,,,,,,,,,
3721,Stanley Pritchard,male,29-04-1984,stanley.p84@2cf1d.yahoo.com,,East Midlands,NG31 6PH,White,India,Level 2,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",5. Skilled trades occupations,,,,,,,,,,,,
3722,Frances Spencer,female,15-02-1960,frances-s@4ce3e.marsh-kent.biz,,East,NR30 5WA,Asian / Asian British: Bangladeshi,United Kingdom,Level 3,Unemployed,Other,Other,,,,,,,,,,,,
3723,Naomi Bull,female,29-07-1979,b-naomi1979@7c25e.hotmail.com,,South West,TR13 8PD,White,United Kingdom,Other qualifications,Other,Other,Other,,,,,,,,,,,,
3724,Cheryl Bell,female,06-12-1954,bell_cheryl8184@0c498.yahoo.co.uk,,South East,BN20 7TA,White,United Kingdom,Other qualifications,Retired,Other,Other,,,,,,,,,,,,
3725,Sharon Brookes,female,21-08-2010,sharonbrookes2010@a8872.abbott.com,,London,N12 8TP,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3726,Abigail Johnson,female,30-06-1985,j_abigail811@1ed09.yahoo.co.uk,,West Midlands,CV2 4DZ,White,United Kingdom,Other qualifications,Employee: Part-time,Q. Human health & social work activities,2. Professional occupations,,,,,,,,,,,,
3727,Graham Griffiths,male,03-01-1975,grahamgriffiths7340@0288f.hotmail.co.uk,,South East,SL1 3YY,White,United Kingdom,Other qualifications,Other,Other,Other,,,,,,,,,,,,
3728,Annette Kelly,female,22-03-2001,kellyannette6127@8b0a5.yahoo.com,,South East,CT4 5QW,Asian / Asian British: Chinese,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3729,Jordan Taylor,male,21-01-1951,jordan_t1951@0c18e.outlook.com,,West Midlands,WV99 1UU,Black / African / Caribbean / Black British,Poland,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3730,Carl Phillips,male,07-11-1946,carl_p46@a3c0b.lambert-king.com,,Scotland,EH52 5EP,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3731,Jordan Jones,male,29-12-1972,jjones72@0a8ba.gmail.com,,North West,OL1 4HP,White,United Kingdom,Other qualifications,Homemaker,Other,Other,,,,,,,,,,,,
3732,Julia Clark,female,23-04-1983,clark.julia83@6106f.dennis-griffiths.com,,South West,TA12 6HS,White,United Kingdom,Level 3,Other,Other,Other,,,,,,,,,,,,
3733,Bruce Brown,male,03-04-1996,bruce-b@8a30c.yahoo.com,,Wales,LL55 1DH,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3734,Brenda Dale,female,08-12-1988,brenda-dale1988@59596.yahoo.co.uk,,London,SW4 7LL,White,United Kingdom,Level 3,Unemployed,Other,Other,,,,,,,,,,,,
3735,Leanne Thompson,female,11-09-1973,l-thompson@5f08d.davies.org,,East,CO5 8PT,White,United Kingdom,No qualifications,Employee: Full-time,F. Construction,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3736,Lewis Smith,male,06-07-1962,smithlewis@90bff.gordon-byrne.com,,West Midlands,DY1 9LD,White,United Kingdom,Level 3,Employee: Full-time,"BDE. Mining, energy and water supply",4. Administrative and secretarial occupations,,,,,,,,,,,,
3737,Lucy Thomas,female,20-12-1973,thomas-lucy73@d4ce3.hotmail.com,,East Midlands,S18 9AD,White,United Kingdom,Level 4 or above,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",9. Elementary occupations,,,,,,,,,,,,
3738,Emma Oliver,female,25-12-1950,oliver_emma@de2f6.outlook.com,,London,RM8 2BG,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3739,Leon Cross,male,12-07-1978,cross.leon7914@adbb5.smith-chapman.com,,North West,LA14 5JS,White,United Kingdom,Level 4 or above,Homemaker,Other,Other,,,,,,,,,,,,
3740,Sian Chandler,female,25-02-1985,chandlersian6087@52f32.hotmail.com,,Scotland,KA9 2NW,White,United Kingdom,Level 3,Employee: Part-time,Q. Human health & social work activities,7. Sales and customer service occupations,,,,,,,,,,,,
3741,Neil Jackson,male,12-08-2009,neil_jackson2365@d5c12.outlook.com,,North West,LA1 4XP,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3742,Vanessa Carr,female,06-10-1947,vanessa.c4136@75c6b.walton-mitchell.com,,East,NR33 0DP,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3743,Patrick Lee,male,16-01-1987,l-patrick87@f68e4.gmail.com,,West Midlands,ST6 7HL,White,United Kingdom,Level 3,Employee: Full-time,N. Administrative & support services,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3744,Jeffrey Lees,male,10-12-1960,jeffreyl@a3856.james.com,,East Midlands,NG5 8AX,White,Republic of Ireland,Level 2,Homemaker,Other,Other,,,,,,,,,,,,
3745,Hayley Dixon,female,19-09-1958,d_hayley58@7af89.yahoo.co.uk,,North West,L17 5AY,Black / African / Caribbean / Black British,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3746,Julian Watson,male,28-08-2016,julian-watson@e9c1c.harris-miles.com,,East,HP23 6AP,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3747,Rosemary Hill,female,28-09-2015,rosemary-h6077@a1e5d.andrews.com,,Yorkshire and The Humber,BD19 4LY,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3748,Suzanne Black,female,28-11-1982,black_suzanne1982@08dd0.hughes.biz,,North West,M28 3QU,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3749,Harriet Godfrey,female,01-10-2019,hgodfrey2019@81908.hotmail.co.uk,,London,HA5 1JN,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3750,Judith Greenwood,female,11-03-1998,judith_g98@6e7b2.kelly-day.com,,London,KT2 5PZ,White,United Kingdom,Level 1,Employee: Full-time,O. Public admin & defence; social security,2. Professional occupations,,,,,,,,,,,,
3751,Brenda Pratt,female,03-11-1999,brendap@794d1.gmail.com,,North West,WA7 5RG,White,United Kingdom,Level 4 or above,Other,Other,Other,,,,,,,,,,,,
3752,Dean Cox,male,07-02-1956,dcox@42524.may.com,,East Midlands,S40 1HS,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3753,Laura Price,female,29-08-2019,price_laura19@55674.smith.co.uk,,West Midlands,B92 7EF,Mixed / Multiple ethnic group,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3754,Darren Saunders,male,06-10-1996,darren.saunders@aec6b.hotmail.co.uk,,East Midlands,LE3 8JD,White,United Kingdom,Level 3,Other,Other,Other,,,,,,,,,,,,
3755,John Turner,male,20-01-1952,john-turner1952@20a84.marsh-anderson.co.uk,,West Midlands,CV37 0QZ,Asian / Asian British: Chinese,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3756,Allan Sharpe,male,04-11-1970,sharpe_a70@4a6f9.hotmail.com,,Wales,CF23 9AL,White,Poland,Level 2,Self-employed,"G. Wholesale, retail & repair of motor vehicles","1. Managers, directors and senior officials",,,,,,,,,,,,
3757,Henry Wilson,male,30-12-1971,henry_w@50c67.gmail.com,,South East,RG12 9EZ,White,United Kingdom,No qualifications,Employee: Full-time,H. Transport & storage,"1. Managers, directors and senior officials",,,,,,,,,,,,
3758,Karl Lloyd,male,03-10-1983,karl-lloyd83@5fd93.lloyd-lawson.com,,North West,CW5 5TL,White,United Kingdom,Level 2,Unemployed,Other,Other,,,,,,,,,,,,
3759,Eleanor Clarke,female,07-05-2016,clarke_eleanor2016@4b86b.summers.com,,London,SE9 3AL,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3760,Maurice Marshall,male,02-09-1971,mmarshall71@db563.outlook.com,,Scotland,G3 6JE,White,Spain,Level 4 or above,Employee: Full-time,P. Education,3. Associate professional and technical occupat...,,,,,,,,,,,,
3761,Trevor Stevens,male,31-08-1965,strevor1965@15eee.outlook.com,,East,NR2 1EW,White,United Kingdom,Level 1,Employee: Full-time,J. Information & communication,8. Process plant and machine operatives,,,,,,,,,,,,
3762,Stacey Howell,female,11-05-1978,stacey_howell3811@47d3b.walton.com,,Yorkshire and The Humber,S65 2NY,White,India,Level 4 or above,Employee: Full-time,Q. Human health & social work activities,3. Associate professional and technical occupat...,,,,,,,,,,,,
3763,Rhys Wilson,male,08-12-1998,wrhys@cb419.fowler-ahmed.info,,South West,GL10 3GE,White,United Kingdom,No qualifications,Employee: Full-time,O. Public admin & defence; social security,4. Administrative and secretarial occupations,,,,,,,,,,,,
3764,Marian Barnes,female,18-10-1969,m-barnes@a7daf.yahoo.co.uk,,North West,WN1 3PR,White,United Kingdom,Level 2,Other,Other,Other,,,,,,,,,,,,
3765,Peter Adams,male,05-08-2010,adams_p3349@663d7.gmail.com,,South West,BS6 7PD,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3766,Louis Lewis,male,12-12-1992,louislewis1992@e0e0c.yahoo.co.uk,,North West,WA7 1BQ,Asian / Asian British: Chinese,United Kingdom,No qualifications,Employee: Full-time,C. Manufacturing,3. Associate professional and technical occupat...,,,,,,,,,,,,
3767,Jeffrey Howells,male,02-09-2014,howells_jeffrey5955@5d993.russell.com,,South West,TA9 4RG,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3768,Barry Webb,male,19-01-1978,barrywebb@e492e.carter.co.uk,,Yorkshire and The Humber,DN34 5EE,White,United Kingdom,Other qualifications,Self-employed,H. Transport & storage,"1. Managers, directors and senior officials",,,,,,,,,,,,
3769,Ian Pritchard,male,19-11-1934,pritchardian34@ed198.wilson.com,,South West,GL12 8DU,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3770,Neil Campbell,male,08-07-1953,c-neil1431@92748.gmail.com,,South East,MK14 6HP,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3771,Glenn Brown,male,01-01-2011,b-glenn2011@84ba3.outlook.com,,East Midlands,LE65 1FE,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3772,Lesley Sharp,female,23-09-1961,l-sharp61@c318a.gibbs-miller.com,,North West,SK8 5PQ,White,United Kingdom,Level 3,Employee: Full-time,I. Accommod-ation & food services,"1. Managers, directors and senior officials",,,,,,,,,,,,
3773,Ruth Johnson,female,12-01-1977,ruth-johnson1977@fd070.brown-thomas.com,,London,W1F 0DJ,Asian / Asian British: Indian,United Kingdom,Level 3,Employee: Full-time,RST. Other services,3. Associate professional and technical occupat...,,,,,,,,,,,,
3774,Hannah Jones,female,06-10-2018,jones-h4577@a9475.hotmail.com,,East Midlands,NN14 6SZ,White,United Kingdom,No qualifications,Other,Other,Other,,,,,,,,,,,,
3775,Alex Franklin,male,26-12-2012,alex-f12@7e5a3.gmail.com,,Yorkshire and The Humber,WF17 7AB,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3776,Lynda Knight,female,06-11-1961,knightlynda61@eaa71.brown-fletcher.com,,South East,RH10 3DF,White,United Kingdom,Level 4 or above,Employee: Part-time,P. Education,"1. Managers, directors and senior officials",,,,,,,,,,,,
3777,Mitchell Jones,male,17-10-1962,jonesm1979@99d99.outlook.com,,Northern Ireland,BT82 0SG,White,United Kingdom,Level 4 or above,Self-employed,P. Education,3. Associate professional and technical occupat...,,,,,,,,,,,,
3778,Eileen Turner,female,17-07-1970,turner_e7085@5c3e9.bibi-scott.com,,South East,KT10 1SY,Mixed / Multiple ethnic group,Poland,Level 1,Self-employed,RST. Other services,3. Associate professional and technical occupat...,,,,,,,,,,,,
3779,Gordon Black,male,27-12-1982,g.black1982@edc08.hotmail.co.uk,,West Midlands,B63 3AU,White,United Kingdom,Level 4 or above,Employee: Full-time,C. Manufacturing,9. Elementary occupations,,,,,,,,,,,,
3780,Mandy Hall,female,03-12-1979,hall-mandy@80398.yahoo.co.uk,,Northern Ireland,BT14 6FX,White,United Kingdom,No qualifications,Unemployed,Other,Other,,,,,,,,,,,,
3781,Valerie Evans,female,15-03-1946,valerieevans46@4577d.yahoo.co.uk,,North West,BB3 3HW,White,United Kingdom,Level 4 or above,Retired,Other,Other,,,,,,,,,,,,
3782,Donald Blake,male,29-12-1936,blake.donald2912@de92e.hotmail.co.uk,,West Midlands,DY6 8HY,White,United Kingdom,Level 2,Retired,Other,Other,,,,,,,,,,,,
3783,Ann Davies,female,07-10-1937,davies.ann4647@c68ae.fitzgerald.com,,Wales,SA33 5LW,White,United Kingdom,No qualifications,Retired,Other,Other,,,,,,,,,,,,
3784,Ashley Hughes,male,04-06-1939,hughes-ashley@78cd4.price.com,,London,E6 2LQ,Asian / Asian British: Pakistani,United Kingdom,Level 3,Retired,Other,Other,,,,,,,,,,,,
3785,Lawrence Watts,male,13-04-1970,w-lawrence451@1f089.hotmail.co.uk,,Scotland,KA15 2DZ,White,United Kingdom,Level 4 or above,Employee: Part-time,"BDE. Mining, energy and water supply",5. Skilled trades occupations,,,,,,,,,,,,
3786,Ian Brown,male,02-12-2002,brownian02@b23d5.richardson.com,,Yorkshire and The Humber,LS26 8EU,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3787,Brenda Lewis,female,15-03-1998,brendal@8c16b.fox.com,,North West,M1 6PP,White,United Kingdom,Level 1,Employee: Full-time,"BDE. Mining, energy and water supply",8. Process plant and machine operatives,,,,,,,,,,,,
3788,Sam Hancock,male,27-12-1977,sam.hancock1977@62ace.elliott.com,,West Midlands,B76 1LA,White,United Kingdom,No qualifications,Employee: Part-time,K. Financial & insurance activities,2. Professional occupations,,,,,,,,,,,,
3789,Carolyn O'Sullivan,female,14-05-1985,o'sullivan.carolyn@f5e19.hotmail.com,,East,CO9 2QX,White,United Kingdom,Level 1,Unemployed,Other,Other,,,,,,,,,,,,
3790,Abdul Patterson,male,08-04-1983,patterson_abdul3641@bf3a5.hotmail.com,,London,SW17 0HZ,Asian / Asian British: Other Asian,Egypt,No qualifications,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles","1. Managers, directors and senior officials",,,,,,,,,,,,
3791,Tony Little,male,24-12-1987,t-little87@aca03.law.com,,Yorkshire and The Humber,S36 2DX,White,United Kingdom,Other qualifications,Employee: Full-time,F. Construction,5. Skilled trades occupations,,,,,,,,,,,,
3792,Graeme Morris,male,12-06-1967,morris_graeme67@154fd.austin-hudson.org,,South West,BS35 4LZ,White,Zimbabwe,Level 4 or above,Self-employed,RST. Other services,5. Skilled trades occupations,,,,,,,,,,,,
3793,Kirsty Miller,female,27-06-1997,m-kirsty97@39e74.taylor-bailey.com,,Yorkshire and The Humber,DN15 9JP,White,United Kingdom,Level 1,Employee: Full-time,Q. Human health & social work activities,"6. Caring, leisure and other service occupations",,,,,,,,,,,,
3794,Robin Wilkinson,male,17-07-1958,robin_wilkinson58@b6262.hotmail.com,,Yorkshire and The Humber,HU3 6AS,Asian / Asian British: Pakistani,United Kingdom,Level 2,Employee: Full-time,O. Public admin & defence; social security,9. Elementary occupations,,,,,,,,,,,,
3795,Sharon Baker,female,06-02-2009,sharon.baker2871@64083.gmail.com,,South East,CT14 9QL,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3796,Teresa Gibson,female,04-07-2013,teresa.gibson2013@880e9.barnes.com,,London,EC1M 4BJ,Black / African / Caribbean / Black British,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3797,Roger Elliott,male,21-10-1950,r-elliott50@3f20f.yahoo.co.uk,,Wales,LL14 4EG,White,United Kingdom,Level 1,Retired,Other,Other,,,,,,,,,,,,
3798,Ashleigh Turner,female,31-08-1976,ashleigh.t@795e8.dixon.net,,South West,PL6 5ED,White,United Kingdom,Level 3,Unemployed,Other,Other,,,,,,,,,,,,
3799,Barbara Moore,female,21-06-2001,bmoore5682@6bef8.jones.com,,West Midlands,B44 9DJ,Asian / Asian British: Other Asian,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
3800,Damian Todd,male,08-08-1996,d-todd96@5bc31.curtis.biz,,London,HA7 2QA,White,United Kingdom,No qualifications,Employee: Full-time,"G. Wholesale, retail & repair of motor vehicles",7. Sales and customer service occupations,,,,,,,,,,,,
3801,Stacey Cooke,female,23-05-1994,cookestacey@f15a8.outlook.com,,East,CM20 1FN,White,United Kingdom,Level 3,Employee: Part-time,"G. Wholesale, retail & repair of motor vehicles","1. Managers, directors and senior officials",,,,,,,,,,,,
3802,Sam Barnes,male,27-09-2018,s_barnes18@35193.gmail.com,,London,UB9 6UX,White,India,No qualifications,Other,Other,Other,,,,,,,,,,,,
3803,Dylan Howe,male,05-12-2011,howe_dylan11@c455e.tomlinson.com,,Yorkshire and The Humber,BD5 8BU,White,United Kingdom,No qualifications,Full-time student,Other,Other,,,,,,,,,,,,
